event_id,customer_id,event_type,event_date,session_duration_secs,platform
EVT000001,CUST0102,Report_Generated,2024-03-24,2958,Mobile
EVT000002,CUST0100,Export_Downloaded,2024-04-22,1107,Web
EVT000003,CUST0161,Report_Generated,2024-09-21,3161,Mobile
EVT000004,CUST0157,Integration_Connected,2024-05-25,2686,Mobile
EVT000005,CUST0069,Export_Downloaded,2024-04-06,3525,Web
EVT000006,CUST0035,Integration_Connected,2024-02-26,2638,Web
EVT000007,CUST0116,Integration_Connected,2024-12-24,2580,Web
EVT000008,CUST0083,Login,2024-03-18,233,API
EVT000009,CUST0006,Feature_B_Used,2024-02-22,1185,Web
EVT000010,CUST0184,Invite_Sent,2024-01-05,983,Web
EVT000011,CUST0004,Invite_Sent,2024-04-21,1430,Web
EVT000012,CUST0128,Dashboard_Viewed,2024-08-25,2884,Mobile
EVT000013,CUST0085,Feature_A_Used,2024-03-15,259,Web
EVT000014,CUST0101,Feature_A_Used,2024-10-05,1955,Web
EVT000015,CUST0065,Export_Downloaded,2024-01-07,529,API
EVT000016,CUST0183,Report_Generated,2024-07-16,3188,API
EVT000017,CUST0064,Login,2024-04-11,1917,Mobile
EVT000018,CUST0025,Report_Generated,2024-08-30,1623,Mobile
EVT000019,CUST0080,Dashboard_Viewed,2024-03-22,2607,Mobile
EVT000020,CUST0191,Feature_A_Used,2024-05-09,2001,Mobile
EVT000021,CUST0051,Dashboard_Viewed,2024-01-27,3567,Mobile
EVT000022,CUST0029,Report_Generated,2024-11-20,1808,Web
EVT000023,CUST0043,Integration_Connected,2024-10-26,520,Web
EVT000024,CUST0063,Login,2024-01-22,2410,Mobile
EVT000025,CUST0122,Feature_B_Used,2024-07-09,3187,Web
EVT000026,CUST0041,Invite_Sent,2024-02-16,2839,Mobile
EVT000027,CUST0195,Login,2024-01-31,1486,Mobile
EVT000028,CUST0180,Feature_A_Used,2024-03-05,2028,Web
EVT000029,CUST0143,Dashboard_Viewed,2024-08-12,3033,Web
EVT000030,CUST0177,Export_Downloaded,2024-07-02,2997,Web
EVT000031,CUST0011,Invite_Sent,2024-12-27,1822,Web
EVT000032,CUST0139,Invite_Sent,2024-04-07,2351,Web
EVT000033,CUST0090,Dashboard_Viewed,2024-08-27,1157,API
EVT000034,CUST0154,Feature_B_Used,2024-02-05,2205,Web
EVT000035,CUST0076,Integration_Connected,2024-10-04,1533,Web
EVT000036,CUST0199,Export_Downloaded,2024-04-04,106,Mobile
EVT000037,CUST0094,Report_Generated,2024-06-13,2983,Web
EVT000038,CUST0138,Export_Downloaded,2024-04-07,2176,Mobile
EVT000039,CUST0197,Feature_B_Used,2024-11-09,1189,Web
EVT000040,CUST0165,Dashboard_Viewed,2024-02-26,424,Web
EVT000041,CUST0018,Login,2024-03-07,761,API
EVT000042,CUST0052,Feature_A_Used,2024-09-05,814,Web
EVT000043,CUST0147,Export_Downloaded,2024-12-02,2036,Web
EVT000044,CUST0180,Integration_Connected,2024-01-26,1530,Web
EVT000045,CUST0184,Feature_A_Used,2024-01-07,884,Mobile
EVT000046,CUST0021,Invite_Sent,2024-11-23,278,Web
EVT000047,CUST0191,Export_Downloaded,2024-07-07,3283,Mobile
EVT000048,CUST0158,Integration_Connected,2024-09-27,196,Mobile
EVT000049,CUST0078,Feature_A_Used,2024-04-20,2157,Web
EVT000050,CUST0186,Report_Generated,2024-09-29,1608,Web
EVT000051,CUST0135,Report_Generated,2024-10-18,2591,API
EVT000052,CUST0143,Export_Downloaded,2024-02-24,3168,Mobile
EVT000053,CUST0092,Invite_Sent,2024-12-25,2754,Web
EVT000054,CUST0027,Feature_B_Used,2024-04-02,2282,Web
EVT000055,CUST0087,Feature_B_Used,2024-09-30,2487,Web
EVT000056,CUST0091,Dashboard_Viewed,2024-10-08,1359,Mobile
EVT000057,CUST0106,Export_Downloaded,2024-06-14,2522,Web
EVT000058,CUST0140,Report_Generated,2024-07-11,3166,Web
EVT000059,CUST0191,Integration_Connected,2024-07-03,1883,Web
EVT000060,CUST0102,Login,2024-01-18,1195,Web
EVT000061,CUST0133,Feature_B_Used,2024-06-03,56,Web
EVT000062,CUST0057,Report_Generated,2024-06-10,118,Mobile
EVT000063,CUST0177,Integration_Connected,2024-10-10,2124,Web
EVT000064,CUST0147,Feature_B_Used,2024-02-18,184,Web
EVT000065,CUST0040,Feature_B_Used,2024-05-15,1533,API
EVT000066,CUST0064,Report_Generated,2024-05-11,3352,Web
EVT000067,CUST0147,Export_Downloaded,2024-10-18,920,Mobile
EVT000068,CUST0186,Dashboard_Viewed,2024-09-04,738,Web
EVT000069,CUST0177,Feature_A_Used,2024-10-31,2660,Web
EVT000070,CUST0188,Export_Downloaded,2024-02-10,3225,Web
EVT000071,CUST0198,Dashboard_Viewed,2024-06-27,3377,Web
EVT000072,CUST0031,Report_Generated,2024-11-30,3509,Mobile
EVT000073,CUST0003,Export_Downloaded,2024-01-28,1278,Web
EVT000074,CUST0082,Feature_B_Used,2024-06-16,2087,Mobile
EVT000075,CUST0040,Login,2024-12-10,3026,API
EVT000076,CUST0115,Feature_A_Used,2024-04-23,1799,Web
EVT000077,CUST0101,Feature_B_Used,2024-03-08,1406,Web
EVT000078,CUST0147,Login,2024-10-07,1665,Web
EVT000079,CUST0103,Export_Downloaded,2024-12-23,564,Mobile
EVT000080,CUST0124,Report_Generated,2024-09-06,1649,Mobile
EVT000081,CUST0051,Report_Generated,2024-05-04,323,Web
EVT000082,CUST0111,Dashboard_Viewed,2024-12-16,2389,Web
EVT000083,CUST0172,Export_Downloaded,2024-08-04,1526,Web
EVT000084,CUST0083,Dashboard_Viewed,2024-10-31,2714,Web
EVT000085,CUST0079,Feature_B_Used,2024-06-28,2554,Mobile
EVT000086,CUST0114,Feature_B_Used,2024-08-13,213,API
EVT000087,CUST0060,Report_Generated,2024-12-16,1561,Web
EVT000088,CUST0187,Feature_A_Used,2024-02-27,3059,Web
EVT000089,CUST0159,Feature_B_Used,2024-05-27,86,Web
EVT000090,CUST0029,Integration_Connected,2024-08-18,1959,Web
EVT000091,CUST0054,Report_Generated,2024-04-14,2268,Web
EVT000092,CUST0067,Invite_Sent,2024-11-14,3019,API
EVT000093,CUST0178,Login,2024-07-11,2417,API
EVT000094,CUST0135,Login,2024-05-10,727,Web
EVT000095,CUST0052,Integration_Connected,2024-01-28,1934,Mobile
EVT000096,CUST0003,Feature_A_Used,2024-07-17,2734,Web
EVT000097,CUST0169,Dashboard_Viewed,2024-02-25,108,Web
EVT000098,CUST0167,Export_Downloaded,2024-04-28,1589,Web
EVT000099,CUST0182,Feature_A_Used,2024-06-10,2015,API
EVT000100,CUST0137,Feature_A_Used,2024-04-05,844,Web
EVT000101,CUST0118,Login,2024-01-21,1043,API
EVT000102,CUST0079,Dashboard_Viewed,2024-09-07,1641,Mobile
EVT000103,CUST0005,Dashboard_Viewed,2024-12-16,1471,Web
EVT000104,CUST0078,Report_Generated,2024-09-13,1159,Mobile
EVT000105,CUST0161,Integration_Connected,2024-07-17,3367,API
EVT000106,CUST0143,Integration_Connected,2024-04-25,651,Web
EVT000107,CUST0101,Feature_B_Used,2024-02-14,3019,Web
EVT000108,CUST0174,Report_Generated,2024-08-01,1014,Web
EVT000109,CUST0110,Integration_Connected,2024-11-05,1378,Web
EVT000110,CUST0034,Report_Generated,2024-11-30,597,Web
EVT000111,CUST0176,Report_Generated,2024-03-11,1295,Mobile
EVT000112,CUST0135,Feature_B_Used,2024-08-08,3184,Web
EVT000113,CUST0145,Feature_B_Used,2024-06-11,307,Web
EVT000114,CUST0185,Feature_A_Used,2024-04-04,1330,Mobile
EVT000115,CUST0038,Login,2024-06-12,1725,API
EVT000116,CUST0078,Invite_Sent,2024-11-22,3054,Web
EVT000117,CUST0200,Report_Generated,2024-02-24,568,Web
EVT000118,CUST0196,Integration_Connected,2024-11-06,2352,Mobile
EVT000119,CUST0153,Report_Generated,2024-04-28,2845,Web
EVT000120,CUST0021,Invite_Sent,2024-03-09,2087,Mobile
EVT000121,CUST0121,Dashboard_Viewed,2024-04-04,3520,Web
EVT000122,CUST0122,Feature_B_Used,2024-03-24,821,Web
EVT000123,CUST0105,Login,2024-05-18,1721,Web
EVT000124,CUST0172,Report_Generated,2024-04-14,300,Web
EVT000125,CUST0113,Invite_Sent,2024-12-18,1360,API
EVT000126,CUST0064,Export_Downloaded,2024-07-26,3209,Web
EVT000127,CUST0189,Export_Downloaded,2024-06-09,1644,Mobile
EVT000128,CUST0191,Login,2024-09-23,477,Web
EVT000129,CUST0011,Report_Generated,2024-09-22,2233,Web
EVT000130,CUST0189,Login,2024-10-12,1616,Web
EVT000131,CUST0162,Login,2024-04-07,1222,Web
EVT000132,CUST0078,Integration_Connected,2024-08-24,711,Web
EVT000133,CUST0157,Login,2024-12-19,2147,API
EVT000134,CUST0119,Invite_Sent,2024-02-16,2989,Web
EVT000135,CUST0047,Feature_B_Used,2024-07-20,1723,Web
EVT000136,CUST0007,Feature_B_Used,2024-08-20,2447,API
EVT000137,CUST0052,Invite_Sent,2024-02-16,1054,Web
EVT000138,CUST0167,Feature_B_Used,2024-03-04,403,Web
EVT000139,CUST0116,Dashboard_Viewed,2024-02-13,2175,Mobile
EVT000140,CUST0187,Feature_B_Used,2024-07-12,2284,Web
EVT000141,CUST0197,Feature_B_Used,2024-06-20,2346,API
EVT000142,CUST0039,Feature_B_Used,2024-03-15,762,Mobile
EVT000143,CUST0014,Export_Downloaded,2024-06-06,1297,Mobile
EVT000144,CUST0115,Integration_Connected,2024-11-16,770,Web
EVT000145,CUST0034,Report_Generated,2024-01-02,2580,Mobile
EVT000146,CUST0004,Invite_Sent,2024-09-11,3533,Web
EVT000147,CUST0002,Invite_Sent,2024-05-01,918,Web
EVT000148,CUST0122,Invite_Sent,2024-07-28,1839,Web
EVT000149,CUST0154,Login,2024-05-05,2271,Web
EVT000150,CUST0161,Report_Generated,2024-01-26,787,Web
EVT000151,CUST0168,Dashboard_Viewed,2024-01-19,625,API
EVT000152,CUST0171,Integration_Connected,2024-06-18,389,Web
EVT000153,CUST0107,Feature_B_Used,2024-03-23,2782,Web
EVT000154,CUST0170,Feature_B_Used,2024-08-21,3099,Web
EVT000155,CUST0010,Feature_A_Used,2024-06-02,1352,Web
EVT000156,CUST0098,Feature_A_Used,2024-08-06,3484,Web
EVT000157,CUST0075,Invite_Sent,2024-03-09,529,Mobile
EVT000158,CUST0071,Dashboard_Viewed,2024-09-26,1724,Web
EVT000159,CUST0179,Report_Generated,2024-11-09,268,Web
EVT000160,CUST0187,Feature_A_Used,2024-09-04,2995,Mobile
EVT000161,CUST0181,Integration_Connected,2024-08-06,2523,Mobile
EVT000162,CUST0067,Dashboard_Viewed,2024-03-07,2546,Web
EVT000163,CUST0134,Invite_Sent,2024-09-09,3339,Web
EVT000164,CUST0157,Report_Generated,2024-12-28,1219,API
EVT000165,CUST0001,Feature_A_Used,2024-01-13,1934,Mobile
EVT000166,CUST0031,Report_Generated,2024-11-11,1728,Web
EVT000167,CUST0086,Dashboard_Viewed,2024-10-13,3331,Mobile
EVT000168,CUST0003,Report_Generated,2024-12-19,1183,Web
EVT000169,CUST0018,Integration_Connected,2024-06-02,2105,Web
EVT000170,CUST0197,Login,2024-02-28,2839,Web
EVT000171,CUST0102,Login,2024-03-30,824,Web
EVT000172,CUST0087,Invite_Sent,2024-08-30,3295,Web
EVT000173,CUST0035,Invite_Sent,2024-03-20,2599,Web
EVT000174,CUST0138,Dashboard_Viewed,2024-08-24,3241,Mobile
EVT000175,CUST0191,Login,2024-09-23,1256,Web
EVT000176,CUST0174,Dashboard_Viewed,2024-10-11,2224,Web
EVT000177,CUST0148,Dashboard_Viewed,2024-06-30,301,API
EVT000178,CUST0072,Login,2024-06-22,1566,Mobile
