customer_id,company_name,industry,plan,status,signup_date,mrr,country,account_manager
CUST0001,Harper-Walker,Healthcare,Free,Churned,2024-11-23,0,US,Kelly Wilson
CUST0002,Cook Group,Fintech,Pro,Trial,2024-02-22,149,US,John Oconnor
CUST0003,Wright-Olson,Logistics,Free,Active,2024-01-17,0,UK,Donald Finley
CUST0004,Ryan-Aguirre,Logistics,Free,Churned,2024-10-14,0,US,Paul Vargas
CUST0005,Mcdonald-King,Fintech,Starter,Churned,2024-08-17,49,Canada,Richard Gilbert
CUST0006,Dixon Inc,Healthcare,Pro,Active,2024-03-22,149,US,Angel Smith
CUST0007,"Roberts, Moore and Long",Retail,Free,Active,2024-06-21,0,Canada,Donna Johnson
CUST0008,"Martin, Stephens and Rodriguez",SaaS,Free,Active,2024-11-05,0,US,Rebecca Roberson
CUST0009,"Sawyer, Nguyen and Shelton",Education,Free,Active,2024-07-12,0,UK,Patrick Jones
CUST0010,Rivers Group,Fintech,Starter,Churned,2024-07-04,49,UK,Jamie Stephenson
CUST0011,Reid PLC,Fintech,Enterprise,Trial,2024-05-28,499,US,Sarah Gallegos
CUST0012,"Cox, Gallagher and Rice",Retail,Pro,Active,2024-08-20,149,US,Holly Carson
CUST0013,Duffy-Hoffman,Education,Free,Trial,2024-12-09,0,US,Kevin Mcintyre
CUST0014,Ray-Graham,Healthcare,Free,Churned,2024-11-21,0,US,Caitlin White
CUST0015,"Juarez, Santos and Harrington",Logistics,Enterprise,Churned,2024-05-18,499,US,Shelby Colon
CUST0016,White-Pitts,Healthcare,Pro,Churned,2024-06-15,149,Canada,Brendan Campbell
CUST0017,Cochran and Sons,Logistics,Starter,Active,2024-06-10,49,Canada,James Smith
CUST0018,Bailey and Sons,Education,Free,Active,2024-06-10,0,US,Jeremy Davis
CUST0019,Lawrence PLC,Logistics,Free,Churned,2024-05-15,0,US,William Figueroa
CUST0020,Morales LLC,Retail,Starter,Active,2024-10-26,49,US,Michael Miller
CUST0021,"Cunningham, Mccormick and Watkins",Fintech,Starter,Active,2024-03-11,49,Canada,Christopher Smith
CUST0022,Beck Group,SaaS,Pro,Churned,2024-03-19,149,US,Sarah Lowe
CUST0023,"Montgomery, Avila and Smith",Logistics,Starter,Trial,2024-07-16,49,US,John Ward
CUST0024,Ray Ltd,Education,Enterprise,Active,2024-10-10,499,US,Melissa Phillips
CUST0025,Key-Wallace,Retail,Pro,Churned,2024-10-01,149,US,Jared Fuller
CUST0026,Smith and Sons,Education,Free,Active,2024-08-10,0,Canada,Karen Contreras
CUST0027,"Brady, Campbell and Fisher",Logistics,Enterprise,Churned,2024-05-14,499,India,Robert Garcia
CUST0028,Sullivan-Ramirez,Logistics,Free,Churned,2024-11-16,0,US,Mike Vazquez
CUST0029,Davis-Meyer,Logistics,Pro,Active,2024-07-10,149,India,Jeremy Ramos
CUST0030,"Brown, Lane and Wright",Retail,Starter,Active,2024-11-02,49,Canada,Christopher Jones
CUST0031,Craig-Adkins,Logistics,Free,Active,2024-06-06,0,India,Jennifer Pitts
CUST0032,Stark-Kelly,Logistics,Pro,Churned,2024-02-13,149,Canada,Pamela Smith
CUST0033,White and Sons,Healthcare,Pro,Trial,2024-03-06,149,US,Karen Bailey
CUST0034,"Henderson, Stevenson and Roberts",Logistics,Starter,Active,2024-11-06,49,Canada,Kyle Murphy
CUST0035,Herring-Holmes,Education,Free,Active,2024-12-19,0,UK,Caitlyn Davis
CUST0036,Fuentes-Smith,Healthcare,Enterprise,Active,2024-08-12,499,US,Karen Hernandez
CUST0037,"Chandler, Reilly and Brown",Logistics,Free,Active,2024-06-22,0,US,Richard Leonard
CUST0038,"Perez, Garcia and Gay",Fintech,Pro,Active,2024-02-06,149,India,Virginia Howard
CUST0039,"Robinson, Daniels and Herrera",Education,Free,Active,2024-06-18,0,US,Jill Smith
CUST0040,"Jones, Welch and Williams",Logistics,Free,Trial,2024-10-03,0,US,David Vasquez
CUST0041,Brown PLC,Healthcare,Pro,Churned,2024-05-04,149,US,Michelle Blackburn
CUST0042,"Murphy, Castillo and Fernandez",SaaS,Starter,Active,2024-12-03,49,Canada,William Yu
CUST0043,Roberts-Rollins,Fintech,Pro,Trial,2024-01-28,149,US,Charles Mcdonald
CUST0044,Miller Group,Healthcare,Pro,Active,2024-06-22,149,US,David Rodgers
CUST0045,"Doyle, Campbell and Peters",SaaS,Free,Active,2024-08-17,0,US,Kristin Riley
CUST0046,Montes and Sons,Logistics,Starter,Trial,2024-02-08,49,US,Roberta Knapp
CUST0047,Jenkins PLC,Fintech,Enterprise,Churned,2024-11-29,499,India,Jeffrey Hendrix
CUST0048,Gonzalez PLC,Healthcare,Free,Active,2024-05-01,0,Canada,Christopher Ortiz
CUST0049,Bradley PLC,SaaS,Free,Active,2024-01-31,0,US,Susan Reynolds MD
CUST0050,Booker-Russell,Education,Free,Churned,2024-08-20,0,India,Billy Hernandez
CUST0051,Ramirez-Pierce,Healthcare,Pro,Active,2024-10-11,149,US,Robert Garrett
CUST0052,"Mckee, Davis and Howard",Education,Starter,Active,2024-01-30,49,US,Katherine Sanchez
CUST0053,Davis-Kelly,Logistics,Starter,Active,2024-01-26,49,US,Katelyn Stone
CUST0054,Vaughn-Morgan,Logistics,Free,Active,2024-09-17,0,US,Deborah Horton
CUST0055,"Aguilar, Gonzalez and Jordan",Logistics,Starter,Trial,2024-04-30,49,US,Mrs. Katherine Atkinson
CUST0056,Bender Group,Education,Free,Active,2024-10-31,0,US,Caleb Martin
CUST0057,Howard-King,Education,Starter,Active,2024-09-24,49,UK,Charles Mitchell
CUST0058,Mcmahon LLC,Education,Free,Active,2024-05-02,0,US,Barbara Anderson
CUST0059,Gomez Ltd,Fintech,Enterprise,Trial,2024-06-10,499,US,Karen Martinez
CUST0060,Thomas and Sons,Healthcare,Enterprise,Active,2024-10-15,499,US,Kevin Williams
CUST0061,"Cabrera, Anderson and Dean",Healthcare,Enterprise,Trial,2024-03-08,499,US,Steven Gibson
CUST0062,"Farmer, Stewart and Lambert",Retail,Starter,Active,2024-03-21,49,UK,Hayley Hall
CUST0063,"Anderson, Smith and Kelly",Logistics,Starter,Churned,2024-11-30,49,US,Sarah Erickson
CUST0064,Hodge Group,Retail,Free,Trial,2024-12-05,0,US,Patricia Anderson
CUST0065,Walsh Ltd,Retail,Pro,Active,2024-02-24,149,UK,Christopher Walker
CUST0066,Powell LLC,Retail,Free,Churned,2024-06-24,0,US,Benjamin Anderson
