ticket_id,customer_id,category,priority,status,created_date,resolved_date,resolution_days,satisfaction_score,subject
TKT00001,CUST0062,Onboarding,Medium,Open,2024-09-11,,,,Human young office no.
TKT00002,CUST0118,Onboarding,Critical,Closed,2024-05-10,2024-05-11,1.0,5.0,Central he certain able.
TKT00003,CUST0041,Performance,Low,Closed,2024-02-07,2024-02-22,15.0,4.0,World step provide add more.
TKT00004,CUST0177,Feature Request,Critical,Closed,2024-05-08,2024-05-23,15.0,4.0,Stay factor meeting case.
TKT00005,CUST0028,Performance,Low,Resolved,2024-05-01,2024-05-14,13.0,3.0,Television everybody article security on teacher.
TKT00006,CUST0006,Performance,High,In Progress,2024-12-03,,,,Product among support claim such subject late.
TKT00007,CUST0200,Billing,High,Resolved,2024-01-26,2024-02-15,20.0,2.0,Form adult walk hand specific race night.
TKT00008,CUST0156,Performance,Low,Resolved,2024-06-29,2024-07-07,8.0,2.0,Building wife same.
TKT00009,CUST0161,Onboarding,Low,In Progress,2024-02-19,,,,Spring clearly still on age task.
TKT00010,CUST0094,Billing,High,Closed,2024-03-08,2024-03-11,3.0,2.0,News look either fight almost tonight address.
TKT00011,CUST0052,Billing,Medium,Closed,2024-03-08,2024-03-26,18.0,3.0,No way total lay serve.
TKT00012,CUST0043,Billing,High,Closed,2024-05-11,2024-05-27,16.0,3.0,Career red still fact great water police ask.
TKT00013,CUST0030,Feature Request,High,Open,2024-08-27,,,,Spring near war everything if middle American.
TKT00014,CUST0186,Performance,Medium,Closed,2024-12-11,2024-12-24,13.0,4.0,Agent various possible positive letter scientist put.
TKT00015,CUST0004,Billing,Medium,Open,2024-05-15,,,,Service note clearly it she ability.
TKT00016,CUST0173,Integration,Critical,Resolved,2024-05-14,2024-06-02,19.0,1.0,Fish offer throw bad bar.
TKT00017,CUST0173,Performance,Medium,Open,2024-04-29,,,,Music bed almost huge religious individual she suffer.
TKT00018,CUST0157,Onboarding,Critical,Resolved,2024-04-23,2024-04-26,3.0,3.0,Sit economic nor radio happen game ability.
TKT00019,CUST0167,Bug,Medium,Open,2024-07-28,,,,Moment analysis man all present article.
TKT00020,CUST0127,Performance,Low,In Progress,2024-02-29,,,,Tend yet issue down bed someone PM.
TKT00021,CUST0117,Integration,High,Resolved,2024-07-08,2024-07-26,18.0,4.0,Major himself face let.
TKT00022,CUST0168,Billing,Low,Resolved,2024-02-20,2024-03-07,16.0,3.0,Opportunity certainly southern wife keep.
TKT00023,CUST0056,Billing,Low,Closed,2024-08-15,2024-08-30,15.0,3.0,Brother allow animal today agreement mean child.
TKT00024,CUST0140,Billing,Low,Open,2024-11-26,,,,Agent idea story serve.
TKT00025,CUST0032,Integration,Medium,Resolved,2024-08-20,2024-08-23,3.0,1.0,Member model stand let director international officer actually.
TKT00026,CUST0013,Performance,Low,Closed,2024-06-19,2024-06-27,8.0,5.0,Fear argue baby suggest tonight well.
TKT00027,CUST0054,Feature Request,Medium,Closed,2024-10-27,2024-11-03,7.0,2.0,Staff expect party social the heart.
TKT00028,CUST0153,Feature Request,Critical,Closed,2024-01-02,2024-01-11,9.0,5.0,Visit window do note here.
TKT00029,CUST0065,Bug,Low,Resolved,2024-03-30,2024-04-03,4.0,3.0,Analysis on focus world.
